"","Movie_name","Years","Genre","Ratings","Director","Users_involved","Runtime"
"1","Murder on the Orient Express",2017,"Crime",6.5,"Kenneth Branagh",206040,"
                        1h 54min
                    "
"2","Spider-Man: Into the Spider-Verse",2018,"Animation",8.4,"Bob Persichetti",342434,"
                        1h 57min
                    "
"3","Fantastic Beasts: The Crimes of Grindelwald",2018,"Adventure",6.6,"David Yates",212595,"
                        2h 14min
                    "
"4","Follow Me",2020,"Adventure",5.4,"Will Wernick",2549,"
                        1h 28min
                    "
"5","Mad Max: Fury Road",2015,"Action",8.1,"George Miller",861770,"
                        2h
                    "
"6","JL Family Ranch: The Wedding Gift",2020,"Western",6.2,"Sean McNamara",98,"
                        1h 23min
                    "
"7","Avengers: Infinity War",2018,"Action",8.4,"Anthony Russo",804744,"
                        2h 29min
                    "
"8","Peppermint",2018,"Action",6.5,"Pierre Morel",50103,"
                        1h 41min
                    "
"9","Hereditary",2018,"Drama",7.3,"Ari Aster",225254,"
                        2h 7min
                    "
"10","The Lion King",2019,"Animation",6.9,"Jon Favreau",202548,"
                        1h 58min
                    "
"11","Bad Boys For Life",2020,"Action",6.6,"Adil El Arbi",115842,"
                        2h 4min
                    "
"12","Deadpool 2",2018,"Action",7.7,"David Leitch",464555,"
                        1h 59min
                    "
"13","Love, Guaranteed",2020,"Romance",5.5,"Mark Steven Johnson",9366,"
                        1h 30min
                    "
"14","His House",2020,"Horror",6.2,"Remi Weekes",78,"
                        1h 33min
                    "
"15","The Secret: Dare to Dream",2020,"Drama",6.4,"Andy Tennant",2228,"
                        1h 47min
                    "
"16","It: Chapter 2",2019,"Drama",6.5,"Andy Muschietti",195782,"
                        2h 49min
                    "
"17","On the Rocks",2020,"Adventure",6.8,"Sofia Coppola",734,"
                        1h 36min
                    "
"18","Charlie's Angels",2019,"Action",4.8,"Elizabeth Banks",51841,"
                        1h 58min
                    "
"19","Uncut Gems",2019,"Crime",7.4,"Benny Safdie",203925,"
                        2h 15min
                    "
"20","A Simple Favor",2018,"Comedy",6.8,"Paul Feig",121981,"
                        1h 57min
                    "
"21","Greyhound",2020,"Action",7,"Aaron Schneider",54069,"
                        1h 31min
                    "
"22","BlacKkKlansman",2018,"Biography",7.5,"Spike Lee",211250,"
                        2h 15min
                    "
"23","The Meg",2018,"Action",5.6,"Jon Turteltaub",145113,"
                        1h 53min
                    "
"24","Infidel",2019,"Action",6.5,"Cyrus Nowrasteh",781,"
                        1h 48min
                    "
"25","Bloodshot",2020,"Action",5.7,"Dave Wilson",52831,"
                        1h 49min
                    "
"26","The Man from U.N.C.L.E.",2015,"Action",7.3,"Guy Ritchie",265315,"
                        1h 56min
                    "
"27","The Equalizer 2",2018,"Action",6.7,"Antoine Fuqua",127759,"
                        2h 1min
                    "
"28","The Irishman",2019,"Biography",7.9,"Martin Scorsese",308729,"
                        3h 29min
                    "
"29","Nishabdham",2020,"Mystery",3.8,"Hemant Madhukar",1620,"
                        2h
                    "
"30","Suicide Squad",2016,"Action",6,"David Ayer",589906,"
                        2h 3min
                    "
